channel,database,file_id,type
1.0,REVERB,pointsource_noises/noise-free-sound-00001.wav,pointsource_noises
1.0,REVERB,pointsource_noises/noise-free-sound-00002.wav,pointsource_noises
1.0,REVERB,pointsource_noises/noise-free-sound-00003.wav,pointsource_noises
1.0,REVERB,pointsource_noises/noise-free-sound-00004.wav,pointsource_noises
1.0,REVERB,pointsource_noises/noise-free-sound-00005.wav,pointsource_noises
1.0,REVERB,pointsource_noises/noise-free-sound-00006.wav,pointsource_noises
1.0,REVERB,pointsource_noises/noise-free-sound-00007.wav,pointsource_noises
1.0,REVERB,pointsource_noises/noise-free-sound-00008.wav,pointsource_noises
1.0,REVERB,pointsource_noises/noise-free-sound-00009.wav,pointsource_noises
1.0,REVERB,pointsource_noises/noise-free-sound-00010.wav,pointsource_noises
1.0,REVERB,pointsource_noises/noise-free-sound-00011.wav,pointsource_noises
1.0,REVERB,pointsource_noises/noise-free-sound-00012.wav,pointsource_noises
1.0,REVERB,pointsource_noises/noise-free-sound-00013.wav,pointsource_noises
1.0,REVERB,pointsource_noises/noise-free-sound-00014.wav,pointsource_noises
1.0,REVERB,pointsource_noises/noise-free-sound-00015.wav,pointsource_noises
1.0,REVERB,pointsource_noises/noise-free-sound-00016.wav,pointsource_noises
1.0,REVERB,pointsource_noises/noise-free-sound-00017.wav,pointsource_noises
1.0,REVERB,pointsource_noises/noise-free-sound-00018.wav,pointsource_noises
1.0,REVERB,pointsource_noises/noise-free-sound-00019.wav,pointsource_noises
1.0,REVERB,pointsource_noises/noise-free-sound-00020.wav,pointsource_noises
1.0,REVERB,pointsource_noises/noise-free-sound-00021.wav,pointsource_noises
1.0,REVERB,pointsource_noises/noise-free-sound-00022.wav,pointsource_noises
1.0,REVERB,pointsource_noises/noise-free-sound-00023.wav,pointsource_noises
1.0,REVERB,pointsource_noises/noise-free-sound-00024.wav,pointsource_noises
1.0,REVERB,pointsource_noises/noise-free-sound-00025.wav,pointsource_noises
1.0,REVERB,pointsource_noises/noise-free-sound-00026.wav,pointsource_noises
1.0,REVERB,pointsource_noises/noise-free-sound-00027.wav,pointsource_noises
1.0,REVERB,pointsource_noises/noise-free-sound-00028.wav,pointsource_noises
1.0,REVERB,pointsource_noises/noise-free-sound-00029.wav,pointsource_noises
1.0,REVERB,pointsource_noises/noise-free-sound-00030.wav,pointsource_noises
1.0,REVERB,pointsource_noises/noise-free-sound-00031.wav,pointsource_noises
1.0,REVERB,pointsource_noises/noise-free-sound-00032.wav,pointsource_noises
